Category,Airline,Number,FlightNumber,Type,UnitDelayCost,EstimatedTime,Runway
Departure,CES,1,MU5990,M,2,00:00:00,0
Departure,CES,2,MU2342,L,1,00:00:00,1
Departure,CCA,3,CA2342,L,1.1,00:00:00,0
Departure,CSC,4,3U8731,M,2.1,00:00:00,1
Departure,CSZ,5,ZH1407,M,2.2,00:04:00,1
Departure,CSZ,6,ZH4307,M,2.2,00:04:00,0
Departure,CCA,7,CA426,L,1.2,00:04:00,1
Departure,CCA,8,CA4307,H,4,00:04:00,0
Departure,CSC,9,3U8668,L,1.1,00:08:00,0
Departure,CES,10,MU2414,L,1,00:08:00,1
Departure,CES,11,MU3005,M,2.1,00:08:00,0
Departure,CSC,12,3U8869,H,4.1,00:08:00,1
Arrival,CSC,13,3U8676,M,42,00:00:00,0
Arrival,CCA,14,CA4434,H,62,00:01:06,1
Arrival,CSC,15,3U8648,L,23,00:01:47,0
Arrival,CCA,16,CA1415,L,23.1,00:02:35,1
Arrival,CSZ,17,ZH1415,M,42.2,00:03:19,0
Arrival,CSC,18,CA1945,L,23,00:03:55,1
Arrival,CES,19,MU5401,M,41.3,00:04:07,0
Arrival,CSZ,20,ZH1915,H,62.1,00:05:14,1
Arrival,CSC,21,3U8702,M,42,00:02:52,0
Arrival,CSC,22,3U8628,L,23,00:06:23,1
Arrival,CCA,23,CA4392,L,23.1,00:07:34,0
Arrival,CSZ,24,ZH2306,M,42.2,00:08:48,1
